Title,Mileage,Year,Engine,Location,Price
MERCEDES-BENZ C-CLASS,"127,828",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"53,168",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"21,074",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"53,415",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"54,000",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"29,512",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"83,594",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"53,255",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"90,000",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"57,526",2015,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"82,128",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"58,098",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"67,000",2017,"1,991cc",Korea
MERCEDES-BENZ G-CLASS,"23,500",2019/2,"4,000cc",Osaka
MERCEDES-BENZ C-CLASS,"41,818",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"45,725",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"104,200",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"24,571",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"63,675",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"60,263",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"174,326",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"30,724",2019,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"209,481",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"333,440",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"20,981",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"20,583",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"91,907",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"74,000",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"22,862",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"106,381",2015,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"35,022",2018,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"48,914",2016,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"142,467",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"59,235",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"51,925",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"49,298",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"92,213",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"22,183",2020,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"138,160",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"49,732",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"24,412",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"65,436",2018,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"214,218",2016,"1,598cc",Korea
MERCEDES-BENZ C-CLASS,"35,345",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"95,800",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"9,870",2020,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"120,663",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"36,523",2019,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"74,066",2017,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"69,686",2016,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"13,000",2020,"1,950cc",Korea
MERCEDES-BENZ C-CLASS,"43,389",2018,"2,143cc",Korea
MERCEDES-BENZ C-CLASS,"29,627",2017,"1,991cc",Korea
MERCEDES-BENZ C-CLASS,"23,984",2018,"2,143cc",Korea
